,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen,location,point,latitude,longitude,altitude
389,SK Rosenheim,427,18,164,"Ružinov, Bratislava, Bratislavský kraj, Slovensko","(48.143488500000004, 17.16070216871738, 0.0)",48.143488500000004,17.16070216871738,0.0
390,SK Rostock,75,2,73,"Rostock, Mecklenburg-Vorpommern, Deutschland","(54.0924445, 12.1286127, 0.0)",54.0924445,12.1286127,0.0
391,SK Salzgitter,128,6,100,"Salzgitter, Niedersachsen, 38226, Deutschland","(52.1503721, 10.3593147, 0.0)",52.1503721,10.3593147,0.0
392,SK Schwabach,74,1,66,"Schwabach, Bayern, 91126, Deutschland","(49.3346915, 11.029413917830473, 0.0)",49.3346915,11.029413917830473,0.0
393,SK Schweinfurt,163,16,111,"Schweinfurt, Bayern, 97421, Deutschland","(50.0499945, 10.233302, 0.0)",50.0499945,10.233302,0.0
394,SK Schwerin,90,0,88,"Schwerin, Mecklenburg-Vorpommern, Deutschland","(53.6288297, 11.4148038, 0.0)",53.6288297,11.4148038,0.0
395,SK Solingen,226,7,193,"Solingen, Nordrhein-Westfalen, 42651, Deutschland","(51.1712468, 7.0838996, 0.0)",51.1712468,7.0838996,0.0
396,SK Speyer,74,0,55,"Speyer, Rheinland-Pfalz, 67346, Deutschland","(49.3165553, 8.433615, 0.0)",49.3165553,8.433615,0.0
397,SK Straubing,368,33,242,"Straubing, Bayern, 94315, Deutschland","(48.8819801, 12.569716, 0.0)",48.8819801,12.569716,0.0
398,SK Stuttgart,1314,50,1097,"Stuttgart, Baden-Württemberg, Deutschland","(48.7784485, 9.1800132, 0.0)",48.7784485,9.1800132,0.0
399,SK Suhl,13,2,10,"Suhl, Thüringen, 98527, Deutschland","(50.6086518, 10.6926437, 0.0)",50.6086518,10.6926437,0.0
400,SK Trier,97,1,92,"Trier, Rheinland-Pfalz, 54290, Deutschland","(49.7596208, 6.6441878, 0.0)",49.7596208,6.6441878,0.0
401,SK Ulm,252,4,168,"Ulm, Baden-Württemberg, Deutschland","(48.3974003, 9.9934336, 0.0)",48.3974003,9.9934336,0.0
402,SK Weiden i.d.OPf.,292,11,228,"Weiden in der Oberpfalz, Bayern, 92637, Deutschland","(49.6752749, 12.1631636, 0.0)",49.6752749,12.1631636,0.0
403,SK Weimar,61,0,57,"Weimar, Thüringen, 99423, Deutschland","(50.9802813, 11.3290855, 0.0)",50.9802813,11.3290855,0.0
404,SK Wiesbaden,311,10,261,"Wiesbaden, Hessen, 65183, Deutschland","(50.0820384, 8.2416556, 0.0)",50.0820384,8.2416556,0.0
405,SK Wilhelmshaven,19,1,14,"Wilhelmshaven, Niedersachsen, 26382, Deutschland","(53.5278793, 8.106301, 0.0)",53.5278793,8.106301,0.0
406,SK Wolfsburg,283,50,211,"Vlčí vrch, okres Bratislava III, Bratislava, Bratislavský kraj, 831 52, Slovensko","(48.2116735, 17.0925913, 0.0)",48.2116735,17.0925913,0.0
407,SK Worms,182,7,147,"Worms, Rheinland-Pfalz, 67547, Deutschland","(49.6302618, 8.3620898, 0.0)",49.6302618,8.3620898,0.0
408,SK Wuppertal,802,62,518,"Wuppertal, Nordrhein-Westfalen, 42285, Deutschland","(51.264018, 7.1780374, 0.0)",51.264018,7.1780374,0.0
409,SK Würzburg,457,49,271,"Würzburg, Bayern, 97070, Deutschland","(49.79245, 9.932966, 0.0)",49.79245,9.932966,0.0
410,SK Zweibrücken,35,0,32,"Zweibrücken, Rheinland-Pfalz, 66482, Deutschland","(49.2535955, 7.370627437376278, 0.0)",49.2535955,7.370627437376278,0.0
411,StadtRegion Aachen,1863,82,1579,,,,,
