,Landkreis,AnzahlFall,AnzahlTodesfall,AnzahlGenesen,location,point,latitude,longitude,altitude
174,LK Oberhavel,261,5,173,"Tierheim Oberhavel, Neubau, Tornow, Fürstenberg/Havel, Oberhavel, Brandenburg, 16798, Deutschland","(53.06665155, 13.27659177965574, 0.0)",53.06665155,13.27659177965574,0.0
175,LK Oberspreewald-Lausitz,41,2,36,,,,,
176,LK Odenwaldkreis,351,48,199,,,,,
177,LK Oder-Spree,119,2,98,,,,,
178,LK Offenbach,461,26,334,"Offenbach am Main, Hessen, 63065, Deutschland","(50.1055002, 8.7610698, 0.0)",50.1055002,8.7610698,0.0
179,LK Oldenburg,210,10,179,"Oldenburg, Niedersachsen, 26122, Deutschland","(53.1389753, 8.2146017, 0.0)",53.1389753,8.2146017,0.0
180,LK Olpe,558,37,433,"Olpe, Kreis Olpe, Nordrhein-Westfalen, 57462, Deutschland","(51.0297603, 7.8424193, 0.0)",51.0297603,7.8424193,0.0
181,LK Ortenaukreis,1028,85,778,"Sanitätshaus Link, Metzgerstraße, Christliches Jugenddorf (CJD), Bleiche, Offenburg, Verwaltungsgemeinschaft Offenburg, Ortenaukreis, Baden-Württemberg, 77652, Deutschland","(48.470406, 7.9433245, 0.0)",48.470406,7.9433245,0.0
182,LK Osnabrück,941,40,818,"Osnabrück, Niedersachsen, 49074, Deutschland","(52.266837, 8.049741, 0.0)",52.266837,8.049741,0.0
183,LK Ostalbkreis,1165,21,723,"LK Lorcher Klimatechnik GmbH & Co.KG, Lorcher Straße, Waldhausen, Waldhäuser Mühle, Lorch, Ostalbkreis, Baden-Württemberg, 73547, Deutschland","(48.7910013, 9.647238, 0.0)",48.7910013,9.647238,0.0
184,LK Ostallgäu,486,31,424,"Milchverwertung Ostallgäu, Unterprost, Rückholz, Seeg (VGem), Landkreis Ostallgäu, Bayern, 87494, Deutschland","(47.6664461, 10.53938963546652, 0.0)",47.6664461,10.53938963546652,0.0
185,LK Osterholz,81,0,71,"Osterholz, Stadtbezirk Bremen-Ost, Bremen, 28307, Deutschland","(53.055514, 8.9507122, 0.0)",53.055514,8.9507122,0.0
186,LK Ostholstein,66,0,58,,,,,
187,LK Ostprignitz-Ruppin,66,0,33,,,,,
188,LK Paderborn,575,26,486,"Paderborn, Kreis Paderborn, Nordrhein-Westfalen, Deutschland","(51.71895955, 8.764869778177559, 0.0)",51.71895955,8.764869778177559,0.0
189,LK Passau,501,20,367,"Passau, Bayern, 94032, Deutschland","(48.5748229, 13.4609744, 0.0)",48.5748229,13.4609744,0.0
190,LK Peine,138,10,119,"Peine, Landkreis Peine, Niedersachsen, Deutschland","(52.3217849, 10.2349489, 0.0)",52.3217849,10.2349489,0.0
191,LK Pfaffenhofen a.d.Ilm,330,17,274,"Pfaffenhofen an der Ilm, Landkreis Pfaffenhofen an der Ilm, Bayern, 85276, Deutschland","(48.5296743, 11.5084954, 0.0)",48.5296743,11.5084954,0.0
192,LK Pinneberg,540,29,385,"Pinneberg, Schleswig-Holstein, Deutschland","(53.6615506, 9.7968682, 0.0)",53.6615506,9.7968682,0.0
193,LK Plön,118,6,96,"Plön, Schleswig-Holstein, 24306, Deutschland","(54.158082, 10.41771, 0.0)",54.158082,10.41771,0.0
194,LK Potsdam-Mittelmark,397,17,267,,,,,
195,LK Prignitz,22,0,20,"Priegnitz, Bastionengürtel, Altstadt, Stralsund, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18439, Deutschland","(54.311889, 13.0938001, 0.0)",54.311889,13.0938001,0.0
196,LK Rastatt,486,13,380,"Link, Hauptstraße, Hänferdorf, Kappelwindeck, Bühl, Vereinbarte Verwaltungsgemeinschaft Bühl, Landkreis Rastatt, Baden-Württemberg, 77815, Deutschland","(48.6939794, 8.1352496, 0.0)",48.6939794,8.1352496,0.0
197,LK Ravensburg,524,6,434,"Ravensburg, Verwaltungsverband Mittleres Schussental, Landkreis Ravensburg, Baden-Württemberg, Deutschland","(47.7811014, 9.612468, 0.0)",47.7811014,9.612468,0.0
198,LK Recklinghausen,1025,23,784,"Recklinghausen, Kreis Recklinghausen, Nordrhein-Westfalen, Deutschland","(51.6143815, 7.1978546, 0.0)",51.6143815,7.1978546,0.0
199,LK Regen,161,4,98,"Regen, Landkreis Regen, Bayern, 94209, Deutschland","(48.9700842, 13.1262631, 0.0)",48.9700842,13.1262631,0.0
200,LK Regensburg,396,7,346,"Regensburg, Bayern, 93047, Deutschland","(49.0195333, 12.0974869, 0.0)",49.0195333,12.0974869,0.0
201,LK Rems-Murr-Kreis,1303,52,672,"Hofladen Link, Adelstetter Straße, Enderbach, Alfdorf, Rems-Murr-Kreis, Baden-Württemberg, 73553, Deutschland","(48.8566547, 9.7419949, 0.0)",48.8566547,9.7419949,0.0
202,LK Rendsburg-Eckernförde,233,14,192,"Rendsburg, Rendsburg-Eckernförde, Schleswig-Holstein, 24768, Deutschland","(54.3046701, 9.6645115, 0.0)",54.3046701,9.6645115,0.0
203,LK Reutlingen,1445,53,646,"Reutlingen, Landkreis Reutlingen, Baden-Württemberg, Deutschland","(48.4919508, 9.2114144, 0.0)",48.4919508,9.2114144,0.0
204,LK Rhein-Erft-Kreis,959,55,745,,,,,
205,LK Rhein-Hunsrück-Kreis,174,3,148,,,,,
206,LK Rhein-Kreis Neuss,590,19,525,,,,,
207,LK Rhein-Lahn-Kreis,151,5,145,,,,,
208,LK Rhein-Neckar-Kreis,867,28,760,"Meckesheimer Straße, Eschelbronn, Verwaltungsverband Elsenztal, Rhein-Neckar-Kreis, Baden-Württemberg, 74927, Deutschland","(49.3206494, 8.8517149, 0.0)",49.3206494,8.8517149,0.0
209,LK Rhein-Pfalz-Kreis,206,3,178,,,,,
210,LK Rhein-Sieg-Kreis,1151,27,945,,,,,
211,LK Rheingau-Taunus-Kreis,195,3,185,"Theodor Link, Weiherwiese, Idstein, Rheingau-Taunus-Kreis, Hessen, 65510, Deutschland","(50.2204089, 8.2735907, 0.0)",50.2204089,8.2735907,0.0
212,LK Rheinisch-Bergischer Kreis,425,15,374,,,,,
213,LK Rhön-Grabfeld,186,4,141,"Outdoor Link, Hauptstraße, Lindenhof, Mellrichstadt, Mellrichstadt (VGem), Landkreis Rhön-Grabfeld, Bayern, 97638, Deutschland","(50.4276702, 10.302113, 0.0)",50.4276702,10.302113,0.0
214,LK Rosenheim,2001,120,957,"Rosenheim, Bayern, 83022, Deutschland","(47.8539273, 12.127262, 0.0)",47.8539273,12.127262,0.0
215,LK Rostock,58,3,51,"Rostock, Mecklenburg-Vorpommern, Deutschland","(54.0924445, 12.1286127, 0.0)",54.0924445,12.1286127,0.0
216,LK Rotenburg (Wümme),96,1,86,"Rotenburg (Wümme), Niedersachsen, 27356, Deutschland","(53.1108906, 9.4049292, 0.0)",53.1108906,9.4049292,0.0
217,LK Roth,282,7,257,"LK, Eisenschlag 22, Schwarzenbruck, Landkreis Roth, Bayern, 90592, Deutschland","(49.3445706, 11.2350478, 0.0)",49.3445706,11.2350478,0.0
218,LK Rottal-Inn,693,39,599,,,,,
219,LK Rottweil,601,18,271,"Rottweil, Verwaltungsgemeinschaft Rottweil, Landkreis Rottweil, Baden-Württemberg, 78628, Deutschland","(48.165531, 8.6251283, 0.0)",48.165531,8.6251283,0.0
220,LK Saale-Holzland-Kreis,56,1,49,,,,,
221,LK Saale-Orla-Kreis,123,11,87,"Link, Langer Weg, Lobenstein, Bad Lobenstein, Saale-Orla-Kreis, Thüringen, 07356, Deutschland","(50.4496819, 11.6513, 0.0)",50.4496819,11.6513,0.0
222,LK Saalekreis,108,5,88,"12, Nietleben, Halle (Saale), Sachsen-Anhalt, 06126, Deutschland","(51.468408749999995, 11.90154089616789, 0.0)",51.468408749999995,11.90154089616789,0.0
223,LK Saalfeld-Rudolstadt,63,0,55,"Saalfeld, Landkreis Saalfeld-Rudolstadt, Thüringen, 07318, Deutschland","(50.6481277, 11.3616652, 0.0)",50.6481277,11.3616652,0.0
224,LK Saar-Pfalz-Kreis,277,9,248,,,,,
